Spanish,Polish
cocaína,kokaina
encontrarte,znaleźć Cię
cambie,zmiana
asesinó,morderca
huyendo,uciekać
marihuana,narkotyk
entramos,Wchodzimy
congreso,kongres
capa,warstwa
tocó,wzruszony
mágico,magiczny
beneficios,Korzyści
aburrida,znudzony
invito,Zapraszam
período,Kropka
corredor,biegacz
marte,Mars
ayudaría,mogłoby pomóc
cortado,porąbane
mentiste,skłamałeś
olvidaste,Zapomniałeś
nieto,wnuczka
odiaba,nienawidziłem
fraude,oszustwo
zapato,but
mantenerlo,Zatrzymaj to
liam,Liam
tiró,strzał
sector,sektor
conseguirlo,Dostać to
furgoneta,awangarda
causado,spowodowany
beneficio,korzyść
querrías,Chciałbyś
graduación,ukończenie szkoły
alejado,zdalny
junior,junior
complejo,złożony
miraba,Popatrzyłem
patas,łapy
columna,kolumna
empieces,Ty zaczynasz
bienes,osiedle
quisieras,Chciałbyś
clásico,klasyczny
saque,Na wynos
oírlo,Usłysz to
hígado,wątroba
robaste,ukradłeś
decías,Powiedziałeś
all,Wszystko
lleven,Brać
trabajé,pracowałem
muebles,meble
actos,Dzieje
células,Komórki
presa,ofiara
hubiéramos,mielibyśmy
travis,Travis
joan,Joan
páginas,strony
raymond,Raymond
llenar,wypełnić
riley,Riley
cambian,Zmieniają się
sonríe,uśmiech
moscú,Moskwa
ordenó,zamówiono
go,Iść
motel,motel
venimos,Przychodzimy
cuente,Liczyć
a.,a.
preguntes,ty pytasz
mentido,skłamał
decidimos,zdecydowaliśmy aby
house,Dom
alimentos,żywność
actúa,Działać
prefieres,Ty preferujesz
mason,mason
presupuesto,budżet
prepárate,Przygotuj się
ubicación,Lokalizacja
etapa,etap
olvidaré,zapomnę
trajes,garnitury
santos,Święci
idioma,idiom
fruta,owoc
reconoce,rozpoznać
vuela,Latający
ganando,zwycięski
bendición,błogosławieństwo
luis,Chwytak
compasión,współczucie
reconocer,rozpoznać
desarrollo,rozwijanie
contarte,Powiedz ci
vomitar,Barf
cazador,Łowca
pesca,Wędkarstwo
arco,kokarda
wendy,Wendy
llora,płacz
abandonó,porzucenie
supiste,Wiedziałaś
abogada,prawnik
fama,sława
plano,mieszkanie
elige,wybierać
maíz,kukurydza
remedio,zaradzić
harta,dość
maria,Maria
muéstrame,Pokaż mi
audrey,Audrey
acostumbrado,przyzwyczajony
green,Zielony
leonard,Leonard
disfraz,zwyczaj
termino,termin
hombros,ramiona
química,chemia
vela,świeca
muelle,dok
tiroteo,strzelanie
dirigir,kierować
enterrado,pochowany
acento,akcent
psiquiatra,psychiatra
escoger,wybierać
estupenda,Świetnie
canadá,Kanada
indica,wskazuje
deudas,długi
subiendo,W górę
bla,Bla
desayunar,zjeść śniadanie
tomaron,Zabrali
fines,cele
espíritus,Duchy
ingeniero,inżynier
cráneo,czaszka
desesperado,zdesperowany
baby,Kochanie
separados,rozdzielony
queja,skarżyć się
jugada,ruszaj się
bajando,Zejście
signos,oznaki
dirías,Powiedziałbyś
von,von
buscaré,poszukam
comen,jeść
hong,Hong
pediré,zapytam
documento,dokument
descripción,opis
tercero,trzeci
estructura,Struktura
rehenes,zakładnicy
lleguen,przyjechać
botellas,butelki
encuentren,odnaleźć
bomberos,strażak
horno,piekarnik
préstamo,pożyczka
black,Czarny
tratamos,Traktujemy
autopsia,autopsja
ocupados,zajęty
penny,Grosz
metí,włożyłem
pares,rówieśnicy
propietario,właściciel
supieras,Wiedziałaś
adecuada,odpowiedni
cuarenta,Czterdzieści
profesión,zawód
británico,brytyjski
exámenes,egzaminy
tracy,Tracy
evan,Evan
seth,Seth
moleste,niepokoić
agosto,Sierpień
logró,osiągnięcie
marchar,Maszerować
logan,Logan
crecido,dorosły
representante,przedstawiciel
empiezas,Ty zaczynasz
tareas,obowiązki
gabriel,Gabriel
vodka,wódka
dí,dał
re,odnośnie
terribles,straszny
infeliz,nieszczęśliwy
enormes,olbrzymi
geniales,Świetnie
generoso,hojny
brindis,toast
rita,Rita
directa,bezpośredni
hacéis,Ty robisz
actualmente,w tej chwili
rifle,karabin
casino,kasyno
logro,osiągnięcie
trajeron,Przynieśli
celos,zazdrość
artículos,artykuły
estable,stały
escuadrón,eskadra
ciudadano,obywatel
colin,Colin
sospecha,podejrzenie
violento,brutalny
engañado,oszukany
relacionado,związane z
niega,zaprzecza
vietnam,Wietnam
batman,Ordynans
vendió,sprzedany
ralph,Ralph
chaval,dziecko
macho,mężczyzna
allison,Allison
menores,Nieletni
constantemente,stale
conozca,Wiedzieć
directora,dyrektor
borracha,pijany
ventas,sprzedaż
alivio,ulga
trauma,uraz
enseñarte,uczyć cię
estadounidenses,Amerykanie
necesidades,wymagania
bart,Bart
exposición,ekspozycja
negociar,sprawa
todavia,już
explicarlo,Wyjaśnić
copas,Kubki
golpea,uderzyć
edificios,Budynki
región,region
duros,Ciężko
moviendo,poruszający
kitty,Koteczek
aman,kocham
kong,Kong
ford,Bród
shh,Shh
lógica,logika
eligió,wybrany
sammy,Sammy
sangrando,wykrwawiać się
jefes,Szefowie
comió,jedli
traducido,przetłumaczony
narices,nos
deberes,Praca domowa
grito,krzyk
empresas,Biznes
contactos,Łączność
engaño,oszukany
acusación,oskarżenie
cirujano,chirurg
pagando,intratny
cenizas,proch
retraso,opóźnienie
asesinar,morderstwo
mentí,kłamałem
imaginas,Wyobrażasz sobie
haciéndolo,robić to
ocurriendo,wydarzenie
pechos,Piersi
solicitud,żądanie
enfermedades,Choroby
soporto,stał
buscarla,Poszukaj jej
mona,małpa
fresca,świeży
prioridad,priorytet
mentes,umysły
francos,Franks
rumor,plotka
confías,Ty ufasz
dibujo,Narysował
saliste,Czy wyszedłeś
contaste,Powiedziałeś
buscarte,szukać Cię
prefiere,preferują
almirante,admirał
gastar,wydać
vendrás,Ty przyjdziesz
use,Posługiwać się
craig,Craig
warren,Królikarnia
conjunto,ustawić
profesionales,profesjonaliści
ciertos,niektóre
verdes,Zielony
invitó,zaproszony
alumnos,studenci
presentó,przedstawione
informar,raport
cortó,niski
maya,Maya
apagar,wyłączyć
malditas,Cholera
harían,Zrobiliby
nelson,Nelson
besos,Pocałunki
graciosa,zabawny
chinos,chiński
noviembre,listopad
invisible,niewidzialny
contarme,powiedz mi
economía,gospodarka
logramos,Osiągnęliśmy
combinación,połączenie
enfermos,chory
conectado,połączony
sucederá,To się stanie
asumir,zakładać
rusa,Rosyjski
habitual,zwykły
id,ID
posesión,posiadanie
inténtalo,Spróbuj
ministerio,ministerstwo
saludable,zdrowy
firmado,podpisane
oreja,ucho
calientes,gorący
personajes,postacie
liberar,wydanie
cogió,Wziął
toro,byk
pintar,malować
eternidad,wieczność
similar,Podobnie
sobrina,siostrzenica
tortura,torturować
máxima,maksymalny
franco,Szczery
earl,Hrabia
raras,Rzadki
paige,Paige
espérame,zaczekaj na mnie
nene,Dziecko
deportes,Sporty
sígueme,Chodź za mną
sra,Pani
pulmones,płuca
cuánta,Ile
necesitaremos,Będziemy potrzebować
isabel,Brunatnożółty
acabará,To się skończy
manzanas,jabłka
ratón,mysz
eléctrica,Elektryczny
ee,Ee
productor,producent
quédense,Zostawać
demuestra,przedstawia
lauren,Lauren
eventos,wydarzenia
entendiste,Zrozumiałeś
v,v
reciente,ostatni
empiezan,Oni zaczęli
pasaste,Zdałeś
enfrentar,sprawa
dejaba,wyszedłem
escucharme,Posłuchaj mnie
apariencia,wygląd zewnętrzny
aves,ptaki
radiación,promieniowanie
advierto,ostrzegam
quemado,Spalony
corea,Korea
sandy,Piaszczysty
síntomas,objaw
japoneses,język japoński
kurt,Kurt
juzgar,sędzia
adrian,Adrian
cervezas,piwo
quemar,spalić
kent,Kent
marzo,Marsz
