Unnamed: 0,Spanish,Polish
3577,gilipollas,dupek
3578,tomaste,pijesz herbatę
3579,paraíso,raj
3580,gatos,Koty
3581,costumbre,zwyczaj
3582,podria,mógłby
3583,cabaña,kabina
3584,secretaria,Sekretarz
3585,lentamente,powoli
3586,ensayo,test
3587,pagó,Zapłata
3588,familiares,rodzina
3589,gimnasio,siłownia
3590,negativo,negatywny
3591,lenguaje,język
3592,pájaros,Ptaki
3593,presenta,przedstawia
3594,quedes,pozostać
3595,garaje,garaż
3596,palo,stick
3597,león,Lew
3598,oídos,uszy
3599,dick,Kutas
3600,espaldas,obrona
3601,apuestas,Zakłady
3602,científico,naukowy
3603,incluyendo,włącznie z
3604,pelotas,kulki
3605,actividad,ćwiczenie
3606,dragón,smok
3607,necesite,potrzebować
3608,intentamos,Próbujemy
3609,aguantar,wytrzymać
3610,davis,Davis
3611,primeras,pierwszy
3612,generación,Pokolenie
3613,sexuales,seksualny
3614,apetece,Chcesz
3615,grupos,grupy
3616,capital,kapitał
3617,dejemos,Wyjdźmy
3618,habrías,Zrobiłbyś
3619,máquinas,Maszyny
3620,barato,tani
3621,monsieur,Lord
3622,sistemas,systemy
3623,fingir,udawać
3624,pensarlo,Pomyśl o tym
3625,miércoles,Środa
3626,escritor,pisarz
3627,solitario,samotny
3628,recibo,paragon fiskalny
3629,conocerlo,znać go
3630,pudimos,moglibyśmy
3631,convertirse,stać się
3632,almas,dusze
3633,salto,skok
3634,sonar,Śnić
3635,publicidad,reklama
3636,russell,Russell
3637,temporal,tymczasowy
3638,antecedentes,tło
3639,probado,wypróbowany
3640,todd,Todd
3641,kenny,Kenny
3642,llamaron,Oni dzwonili
3643,atractivo,atrakcyjny
3644,váyase,Idź stąd
3645,barra,bar
3646,aniversario,rocznica
3647,intereses,zainteresowania
3648,madres,Matki
3649,deba,Deba
3650,imagina,Wyobrażać sobie
3651,niñera,siostrzyczka
3652,movimientos,Ruchy
3653,quince,piętnaście
3654,holmes,Holmes
3655,muro,Ściana
3656,recibe,otrzymuje
3657,luce,Luce
3658,nací,urodziłem się
3659,prima,kuzyn
3660,cubierto,pokryty
3661,contando,rachunkowość
3662,reír,śmiać się
3663,producto,produkt
3664,daños,szkoda
3665,abrazo,uścisk
3666,gafas,okulary
3667,arreglarlo,napraw to
3668,sobrino,siostrzeniec
3669,man,facet
3670,demanda,żądanie
3671,elecciones,wybory
3672,construcción,budynek
3673,ayudaré,Pomogę
3674,buscado,poszukiwany
3675,criaturas,stworzenia
3676,dejarla,zostaw to
3677,internacional,międzynarodowy
3678,perfil,profil
3679,trozo,kawałek
3680,actriz,aktorka
3681,repito,Powtarzam
3682,bendiga,Błogosławić
3683,pistas,utwory
3684,whoa,Whoa
3685,vecindario,sąsiedztwo
3686,hannah,Hanna
3687,marcus,Marcus
3688,ataques,Ataki
3689,razonable,rozsądny
3690,vende,Sprzedać
3691,gerente,menedżer
3692,sensible,wrażliwy
3693,ríe,śmiać się
3694,izquierdo,lewy
3695,personalidad,osobowość
3696,camina,Spcerować
3697,traes,Przynosisz
3698,tuvieras,Miałeś
3699,albert,Albert
3700,conté,policzyłem
3701,preparando,przygotowanie
3702,secretario,sekretarz
3703,rueda,koło
3704,sorprendido,Zaskoczony
3705,profundamente,głęboko
3706,conoció,ona poznała
3707,grano,ziarno
3708,pagaré,zapłacę
3709,límites,Granic
3710,moneda,waluta
3711,super,super
3712,piedad,pobożność
3713,militares,wojskowy
3714,seguía,Trwał
3715,tocado,wzruszony
3716,ciudadanos,Obywatele
3717,creado,Utworzony
3718,temas,tematy
3719,acepta,akceptujesz
3720,encerrado,zablokowany
3721,opinas,Myślisz
3722,empiezo,początek
3723,borde,Brzeg
3724,llevarla,trzymaj to
3725,barcos,łodzie
3726,toby,Toby
3727,pudieron,mógłby
3728,tocando,wzruszające
3729,harvey,Harvey
3730,profesora,nauczyciel
3731,dejame,pozwól mi
3732,expresión,wyrażenie
3733,asesinada,zamordowany
3734,escándalo,skandal
3735,nervios,nerwowość
3736,ios,iOS
3737,randy,Krzykliwy
3738,emoción,emocja
3739,blake,Blake
3740,catherine,Catherine
3741,oficialmente,oficjalnie
3742,perdedor,przegrany
3743,margaret,Małgorzata
3744,sienten,Oni czują
3745,rumbo,kurs
3746,valle,Dolina
3747,ian,Ian
3748,x,x
3749,viejas,stary
3750,buscaba,szukałem
3751,científicos,naukowcy
3752,gorda,gruba kobieta
3753,juventud,młodzież
3754,hayamos,mamy
3755,preocupación,sprawa
3756,desnudo,nagi
3757,guión,scenariusz
3758,grant,Dotacja
3759,envié,wysłałem
3760,señoritas,Damski
3761,carreras,kariera
3762,tratas,Traktujesz
3763,sucia,brudny
3764,sophie,Zofia
3765,ratas,szczury
3766,mayo,Może
3767,tirado,rzucony
3768,heroína,heroina
3769,háblame,powiedz mi
3770,contestar,odpowiadać
3771,caos,chaos
3772,alternativa,alternatywny
3773,estupidez,głupota
3774,derek,Derek
3775,sorprendente,zdumiewający
3776,pedirte,Zapytaj o ciebie
3777,principios,początek
3778,egoísta,samolubny
3779,mostraré,ja pokażę
3780,sentarme,Usiądź
3781,verdaderamente,naprawdę
3782,enhorabuena,Gratulacje
3783,casey,Casey
3784,peligrosa,niebezpieczny
3785,ánimo,Rozchmurz się
3786,viajes,wycieczki
3787,lujo,luksus
3788,mia,moje
3789,cantando,śpiewanie
3790,religión,religia
3791,nate,Nate
3792,risas,śmiech
3793,despejado,jasne
3794,miserable,nieszczęśliwy
3795,hierro,żelazo
3796,corona,korona
3797,wayne,Wayne
3798,serías,Byłbyś
3799,dispositivo,urządzenie
3800,mencionar,wspomnieć
3801,brad,Ćwiek
3802,mencionó,wspomniany
3803,inmunidad,odporność
3804,grabación,nagranie
3805,producción,produkcja
3806,nuclear,jądrowy
3807,clima,klimat
3808,puesta,położyć
3809,buscarlo,Szukaj tego
3810,carácter,postać
3811,prostituta,prostytutka
3812,llamarlo,zawołaj go
3813,steven,Steven
3814,máscara,maska
3815,alegre,wesoły
3816,comprender,Rozumiesz
3817,volviste,Wróciłeś
3818,cambiando,Wymiana pieniędzy
3819,alianza,Sojusz
3820,encontrarás,znajdziesz
3821,positivo,pozytywny
3822,siglos,wieki
3823,serían,zrobiłbym
3824,desafortunadamente,niestety
3825,guitarra,gitara
3826,hacían,Oni zrobili
3827,estrategia,strategia
3828,entré,Wejdź
3829,vinimos,Przyszliśmy
3830,frecuencia,częstotliwość
3831,poli,policjant
3832,that,że
3833,elena,Elena
3834,discúlpame,Wybacz mi
3835,llevé,niosłem
3836,vince,Vince
3837,prohibido,zabroniony
3838,caray,Wow
3839,arruinar,zepsuć
3840,masa,ciasto
3841,existencia,istnienie
3842,túnel,tunel
3843,bromas,Żarby
3844,evitarlo,Unikaj tego
3845,industria,przemysł
3846,trasera,tył
3847,monstruos,Potwory
3848,mete,położyć
3849,conseguiré,wezmę
3850,inocentes,niewinny
3851,colección,kolekcja
3852,empleado,pracownik
3853,fatal,fatalny
3854,stephen,Stephen
3855,olivia,Olivia
3856,intente,Próbować
3857,expediente,obrady
3858,nancy,Nancy
3859,putas,dziwki
3860,jess,Pęto
3861,petición,Petycja
3862,ayudado,pomógł
3863,lou,Lou
3864,presentación,prezentacja
3865,beth,Beth
3866,vendido,wyprzedane
3867,cerebral,mózgowy
3868,coraje,odwaga
3869,adulto,dorosły
3870,rubia,blond
3871,mandar,wysłać
3872,pierdes,Przegrałeś
3873,gano,wygrał
3874,almorzar,obiad
3875,caridad,jałmużna
3876,oscar,Oscar
3877,sepan,Wiedzieć
3878,llegada,przyjazd
3879,capítulo,rozdział
3880,disculparme,przepraszać
3881,viniera,przyszło
3882,gastos,rachunki
3883,sentirse,czuć
3884,entren,wejść
3885,quédese,Zostawać
3886,tarta,ciasto
3887,volvería,Wrócę
3888,jersey,sweter
3889,mataría,Zabiłbym
3890,breve,krótki
3891,obras,sztuki
3892,acero,stal
3893,llévame,podwieź mnie
3894,street,Ulica
3895,suceda,zdarzyć
3896,cigarrillos,papierosy
3897,funcionará,to będzie działać
3898,alicia,Alicia
3899,haberla,mieć
3900,camarada,towarzysz
3901,confesión,wyznanie
3902,dijimos,powiedzieliśmy
3903,coartada,alibi
3904,desnuda,nagi
3905,payaso,błazen
3906,rayo,promień
3907,guay,Guay
3908,naves,statki
3909,americana,amerykański
3910,político,polityczny
3911,diseño,projekt
3912,condenado,skazany
3913,convencido,przekonany
3914,edward,Edward
3915,policia,Policja
3916,italiano,Włoski
3917,pedro,Pedro
3918,mm,mm
3919,camiseta,Podkoszulek
3920,vendrán,Oni przyjdą
3921,extrañas,zagraniczny
3922,impacto,uderzenie
3923,equipaje,Bagaż
3924,lois,Lois
3925,sufrimiento,cierpienie
3926,salieron,Wyszli
3927,mantente,Zostawać
3928,sabiendo,porozumiewawczy
3929,maten,zabić
3930,adolescente,Nastolatek
3931,soltero,pojedynczy
3932,descubrí,Odkryłam
3933,tranquilos,cichy
3934,influencia,wpływ
3935,oxígeno,tlen
3936,experimento,eksperyment
3937,absurdo,absurdalny
3938,algun,niektóre
3939,habrían,mieliby
3940,ponerle,położyć
3941,empiece,Początek
3942,devolver,zwrócić
3943,propuesta,wniosek
3944,tómalo,Weź to
3945,michelle,Michelle
3946,abrió,Otwierany
3947,plantas,Podłogi
3948,cantante,piosenkarz
3949,traición,zdrada
3950,cementerio,cmentarz
3951,florida,Floryda
3952,pozo,dobrze
3953,patrulla,patrol
3954,brandon,Brandon
3955,planeando,planowanie
3956,ann,Ann
3957,tragedia,tragedia
3958,ethan,Ethan
3959,miami,Miami
3960,autoridades,władze
3961,trate,Leczyć
3962,procedimiento,proces
3963,fantasía,wymyślny
3964,billetes,Bilety
3965,ganamos,wygraliśmy
3966,secuestro,porwanie
3967,sabrás,Będziesz wiedział
3968,prestado,pożyczone
3969,bodas,ślub
3970,béisbol,baseball
3971,ciudades,miasta
3972,conejo,Królik
3973,pregúntale,Zapytaj ją
3974,billete,bilet
3975,esperanzas,nadzieje
3976,díselo,Powiedz jej
3977,significado,oznaczający
3978,mueren,Oni umierają
3979,shawn,Shawn
3980,cincuenta,pięćdziesiąt
3981,jugadores,gracze
3982,web,Sieć
3983,apropiado,właściwy
3984,robot,robot
3985,considerado,uważane
3986,alcanzar,osiągać
3987,patatas,ziemniaki
3988,mantenga,nadążać
3989,continuación,kontynuacja
3990,tradición,tradycja
3991,países,kraje
3992,ocultar,przebranie
3993,tendríamos,Mielibyśmy
3994,electricidad,Elektryczność
3995,bebidas,napoje
3996,siguió,On kontynuował
3997,reto,wyzwanie
3998,aldea,wieś
3999,robaron,Ukradli
4000,aguas,Fale
4001,caminos,drogi
4002,ellen,Ellen
4003,permitido,dozwolony
4004,alli,tam
4005,cima,Top
4006,éi,éi
4007,risa,śmiech
4008,cumplido,komplement
4009,objetos,obiekty
4010,decide,Zdecydować
4011,pregunte,pytałem o
4012,once,jedenaście
4013,matan,Oni zabijają
4014,terrorista,terrorysta
4015,tomes,Brać
4016,términos,semestry
4017,reyes,Królowie
4018,revés,odwrócić
4019,explotar,cios
4020,maletas,Bagaż
4021,nubes,chmury
4022,circo,cyrk
4023,darse,dawać
4024,west,Zachód
4025,prometiste,Obiecałeś
4026,tanque,czołg
4027,uñas,gwóźdź
4028,encargaré,Zlecę
4029,terroristas,Terroryści
4030,estúpidos,głupi
4031,héroes,bohaterowie
4032,salta,Salta
4033,daremos,Damy
4034,agradecido,wdzięczny
4035,victor,Zwycięzca
4036,terror,terror
4037,keith,Keith
4038,sacrificio,poświęcenie
4039,destrucción,zniszczenie
4040,teddy,Miś
4041,texto,tekst
4042,peleas,walki
4043,liga,liga
4044,martha,Martha
4045,ana,Ana
4046,enviaré,wyślę
4047,teléfonos,telefony
4048,porno,bo nie
4049,diera,dawać
4050,oscura,Ciemny
4051,tuyos,Twój
4052,olvido,zapomniałem
4053,queridos,Drogi
4054,colina,wzgórze
4055,bromeas,ŻART
4056,sano,zdrowy
4057,únicos,unikalny
4058,musical,musical
4059,pastor,Pasterz
4060,ponerlo,Umieść to
4061,naranja,Pomarańczowy
4062,batería,bębny
4063,trabajó,praca
4064,reuniones,Spotkania
4065,sue,Pozwać
4066,figura,postać
4067,jesucristo,Jezus Chrystus
4068,funcionan,czy oni pracują
4069,voces,głosy
4070,caroline,Karolina
4071,jacob,Jakub
4072,caramba,Caramba
4073,callejón,aleja
4074,técnica,technika
4075,marshall,Marshall
4076,refería,Odniósł się
4077,notado,Odnotowany
4078,maquillaje,makijaż
4079,lanzar,rzucić
4080,cadáveres,zwłoki
4081,atacó,zaatakowany
4082,vendiendo,sprzedawanie
4083,bailando,taniec
4084,tenerte,mieć Ciebie
4085,cubrir,pokrywa
4086,liz,Liz
4087,policial,Policja
4088,fase,faza
4089,gus,Gus
4090,joseph,Joseph
4091,importaba,importowany
4092,armada,marynarka wojenna
4093,fea,brzydki
4094,porquería,brud
4095,mickey,Mickey
4096,superar,przeżyć
4097,disfruta,smacznego
4098,sueldo,pensja
4099,abiertos,otwarty
4100,piénsalo,Pomyśl o tym
4101,testimonio,świadectwo
4102,incómodo,niewygodny
4103,oyó,albo ja
4104,costado,Stoisko z boku
4105,apaga,wyłącza
4106,considerando,rozważając
4107,bolsas,Torebki
4108,seguiré,będę kontynuował
4109,imaginé,wyobraziłem sobie
4110,detenerlo,przestań
4111,diana,Diana
4112,pasaporte,paszport
4113,infancia,dzieciństwo
4114,suele,zwykle
4115,productos,produkty
4116,rocas,Skały
4117,reverendo,czcigodny
4118,mediodía,południe
4119,golpeado,bity
4120,destruido,zniszczony
4121,reconozco,Rozpoznaję
4122,plástico,Plastikowy
4123,young,Młody
4124,barba,broda
4125,mago,Czarodziej
4126,hojas,pościel
4127,conocerla,znam ją
4128,hallar,odnaleźć
4129,mantequilla,Masło
4130,lidiar,radzić sobie
4131,sentencia,osąd
4132,ideal,ideał
4133,dámelo,daj mi to
4134,mandó,wysyłam
4135,residencia,Dom
4136,francamente,szczerze mówiąc
4137,guerrero,Wojownik
4138,ayudo,pomógł
4139,sigamos,idźmy dalej
4140,jennifer,Jennifer
4141,engañar,oszustwo
4142,baje,Niżej
4143,contaré,Będę liczyć
4144,guantes,rękawice
4145,rompe,Przerwanie
4146,conociste,spotkałeś
4147,hoja,arkusz
4148,decían,Mówili
4149,recepción,Przyjęcie
4150,logrado,znakomity
4151,odias,nienawidzisz
4152,comisión,zamawiać
4153,vampiro,wampir
4154,finales,Egzaminy końcowe
4155,sufrido,cierpiał
4156,azules,Niebieski
4157,usarlo,Użyj tego
4158,cometer,popełniać
4159,descansa,reszta
4160,peleando,walczący
4161,docena,tuzin
4162,estaríamos,Bylibyśmy
4163,sera,To będzie
4164,lanza,włócznia
4165,averiguarlo,Dowiadywać się
4166,lanzamiento,początek
4167,moverse,ruszaj się
4168,ho,Ho
4169,falla,awaria
4170,angela,Angela
4171,técnicamente,technicznie
4172,dejara,zostawi
4173,medias,pończochy
4174,míralo,Patrzeć
4175,físico,fizyczny
4176,hacerla,robić
4177,multitud,załoga
4178,potencial,potencjał
4179,hacías,Zrobiłeś
4180,famosa,słynny
4181,rutina,rutyna
4182,oportunidades,możliwości
4183,progreso,postęp
4184,fascinante,fascynujący
4185,ensalada,Sałatka
4186,cómoda,wygodna
4187,prepara,przygotować
4188,tráeme,przynieś mi
4189,equivocas,zło
4190,tubo,rura
4191,owen,piekarnik
4192,sacarlo,usunąć to
4193,is,es
4194,usas,Używasz
4195,letras,listy
4196,dennis,Dennis
4197,demasiados,za dużo
4198,éstas,te
4199,interrumpir,przerwać
4200,representa,Reprezentuje
4201,socios,wzmacniacz
4202,pecados,grzechy
4203,novela,powieść
4204,herramientas,narzędzia
4205,desaparece,znika
4206,apostar,Zakład
4207,ó,zarówno
4208,septiembre,Wrzesień
4209,vestidos,sukienki
4210,festival,festiwal
4211,franceses,Francuski
4212,queria,poszukiwany
4213,gustar,tak jak
4214,auxilio,Wsparcie
4215,éstos,te
4216,fracaso,awaria
4217,berlín,Berlin
4218,cañón,Kanion
4219,llegaremos,przyjedziemy
4220,empezaron,Zaczęli
4221,spencer,Spencer
4222,fíjate,zauważyć
4223,votar,głosować
4224,merezco,zasługuję
4225,infantil,dziecinny
4226,estacionamiento,parking
4227,asesina,morderczyni
4228,sentarte,siedzieć
4229,mintió,Skłamał
4230,grita,krzyki
4231,ofrecer,zaoferować
4232,ruth,Litość
4233,esclavos,niewolnicy
4234,academia,akademia
4235,probarlo,Spróbuj
4236,viuda,wdowa
4237,reporte,raport
4238,monedas,Monety
4239,rob,Obrabować
4240,advertencia,Zastrzeżenie
4241,jugo,sok
4242,malcolm,Malcolm
4243,pico,szczyt
4244,miré,Patrzeć
4245,rota,złamany
4246,sociales,społeczny
4247,amarillo,żółty
4248,encargado,kierownik
4249,so,południowy zachód
4250,listas,listy
4251,as,as
4252,poderosa,potężny
4253,prometió,Obiecane
4254,drama,dramat
4255,confundido,zmieszany
4256,olvídate,zapominać
4257,normales,normalna
4258,inconsciente,nieświadomy
4259,asegurar,bezpieczne
4260,estadounidense,amerykański
4261,locales,lokalny
4262,informado,powiadomiony
4263,resuelto,rozwiązany
4264,cueva,jaskinia
4265,conduciendo,napędowy
4266,perdidos,Zaginiony
4267,escuchó,usłyszał
4268,patético,żałosne
4269,abril,kwiecień
4270,matemáticas,matematyka
4271,eliminar,usunąć
4272,venid,chodź
4273,hicieras,Zrobiłeś
4274,causar,przyczyna
4275,demasiadas,za dużo
4276,vigilando,oglądanie
4277,función,funkcjonować
4278,solar,słoneczny
4279,encontrarme,Znajdź mnie
4280,williams,Williams
4281,dólar,dolar
4282,trucos,wydziwianie
4283,h,h
4284,lectura,czytanie
4285,camarero,kelner
4286,toman,biorą
4287,regresaré,wrócę
4288,tiendas,sklepy
4289,encontremos,znajdźmy
4290,dimos,Daliśmy
4291,cabina,kabina
4292,deporte,sport
4293,virginia,Virginia
4294,fuga,odpływ
4295,holly,Ostrokrzew
4296,sospechosos,podejrzany
4297,jonathan,Jonathan
4298,ala,do
4299,champán,szampan
4300,quedaba,To było
4301,viera,Widzieć
4302,formar,kształtować
4303,walker,Piechur
4304,detectives,detektywi
4305,entenderlo,Zrozum to
4306,orejas,uszy
4307,obligado,zobowiązany
4308,testamento,będzie
4309,extremadamente,niezwykle
4310,creyó,Wierzył
4311,darán,Dadzą
4312,materia,materiał
4313,detuvo,zatrzymany
4314,casco,kask
4315,sabremos,Będziemy wiedzieć
4316,agenda,Dziennik
4317,rosas,Rosas
4318,aceptado,przyjęty
4319,bello,piękny
4320,fabuloso,wspaniały
4321,llores,płakać
4322,arruinado,rozpieszczony
4323,enterado,świadomy
4324,junio,Czerwiec
4325,baila,Taniec
4326,artistas,Artyści
4327,realizar,realizować
4328,hechizo,zaklęcie
4329,respiración,oddechowy
4330,extremo,skrajny
4331,historial,nagrywać
4332,pongan,Położyć
4333,yeah,Tak
4334,próximos,następny
4335,extraordinario,nadzwyczajny
4336,tigre,Tygrys
4337,fianza,kaucja
4338,consejos,porady
4339,mostrarte,pokażę ci
4340,doctores,Lekarze
4341,auténtico,autentyczny
4342,usamos,Używamy
4343,romance,Romans
4344,miente,kłamstwa
4345,matthew,Mateusz
4346,importan,Import
4347,paren,Paren
4348,indio,indyjski
4349,increíblemente,niewiarygodnie
4350,pierdo,przegrałem
4351,llevaremos,Będziemy nosić
4352,ví,widział
4353,ofrece,oferuje
4354,seco,suchy
4355,willie,Willie
4356,quinn,Quinn
4357,sagrado,poświęcony
4358,monte,Góra
4359,paris,Paryż
4360,discos,dyski
4361,louise,Louise
4362,carrie,Carrie
4363,juguetes,zabawki
4364,cerdos,wieprzowy
4365,enteré,Dowiedziałem się
4366,escapado,uciekłem
4367,matarla,Zabij ją
4368,casó,walizka
4369,ali,Ali
4370,salgas,Ty wyjdź
4371,pasajeros,pasażerowie
4372,debilidad,słabość
4373,civiles,cywile
4374,corbata,krawat
4375,dispuesta,Ułożony
4376,necesitaré,będę potrzebował
4377,cuartel,koszary
4378,cazar,polowanie
4379,robando,kradzież
4380,convencer,przekonać
4381,rollo,rolka
4382,pescar,łowić ryby
4383,mezcla,mieszanina
4384,parejas,Pary
4385,condicional,warunkowy
4386,giro,skręcać
4387,bonitas,Miły
4388,necesites,Potrzebujesz
4389,molestar,niepokoić
4390,amantes,zakochani
4391,gris,Szary
4392,zoe,Zoe
4393,pedimos,Pytamy
4394,refuerzos,wzmocnienie
4395,josé,Joseph
4396,colgar,powiesić
4397,heridos,ranny
4398,arreglo,układ
4399,plazo,termin
4400,harold,Harold
4401,salvajes,dziki
4402,elliot,Elliot
4403,fotografías,Fotografie
4404,sintió,On czuł
4405,hermosas,piękny
4406,ashley,Ashley
4407,convertir,konwertować
4408,contarle,Powiedz mu
4409,retiro,wycofanie
4410,francis,Francis
4411,gravedad,powaga
4412,importe,ilość
4413,lata,Móc
4414,enseñaré,będę uczyć
4415,velas,świece
4416,suyos,jego
4417,símbolo,symbol
4418,reconocimiento,uznanie
4419,típico,typowy
4420,ayudas,Pomoc
4421,regresado,zwrócony
4422,conducta,przeprowadzić
4423,lane,uliczka
4424,ken,Rozpoznać
4425,am,JESTEM
4426,participar,wziąć udział
4427,lana,wełna
4428,shane,Shane
4429,hacernos,zmuś nas
4430,tratan,Traktują
4431,vendedor,sprzedawca
4432,federales,Federalny
4433,pudiéramos,Moglibyśmy
4434,diane,Diane
4435,estrés,stres
4436,césar,przerwać
4437,soltera,pojedynczy
4438,gustará,polubi
4439,em,Em
4440,brujas,Brugy
4441,horario,harmonogram
4442,recuerden,Pamiętać
4443,identificar,do identyfikacji
4444,hill,WZGÓRZE
4445,alfombra,dywan
4446,perdóneme,wybaczcie mi
4447,actores,aktorzy
4448,atractiva,atrakcyjny
4449,permítame,pozwól mi
4450,desperté,obudziłem się
4451,salía,Wyszło
4452,recibiendo,otrzymujący
4453,preciso,dokładny
4454,comprendes,Rozumiesz
4455,white,Biały
4456,altos,Wysoki
4457,fan,miłośnik
4458,papas,ziemniaki
4459,anciano,starzec
4460,profunda,głęboko
4461,petróleo,Ropa naftowa
4462,intenciones,intencje
4463,francesa,Francuski
4464,neil,Neil
4465,jin,Jin
4466,rango,zasięg
4467,sombras,odcienie
4468,malvado,zło
4469,defender,bronić
4470,lleguemos,Zdobądźmy
4471,suba,Suba
4472,jaula,klatka szybowa
4473,watson,Watson
4474,natalie,Natalie
4475,comentarios,uwagi
4476,dosis,dawka
4477,cartel,podpisać
4478,disparen,strzelać
4479,esperad,czekać
4480,cargar,mieć przy sobie
4481,enviaron,Wysłali
4482,jodida,pierdolony
4483,seguí,kontynuowałem
4484,aproximadamente,o
4485,postre,deser
4486,escala,skala
4487,estudiando,uczenie się
4488,pavo,indyk
4489,origen,źródło
4490,considerar,rozważać
4491,fiel,wierny
4492,diego,Diego
4493,embajador,ambasador
4494,tatuaje,tatuaż
4495,población,populacja
4496,harris,Harris
4497,comes,jesz
4498,llamen,połączenie
4499,horribles,okropny
4500,vampiros,Wampiry
4501,dormida,we śnie
4502,niveles,poziomy
4503,largas,długie
4504,pandilla,banda
4505,agrada,Agrada
4506,traigan,przynieść
4507,onda,wibracja
4508,atrapados,złapany
4509,duque,książę
4510,bajas,niski
4511,dejaremos,Wyjdziemy
4512,b.,b.
4513,trono,tron
4514,canto,śpiewanie
4515,aumento,zwiększać
4516,esconder,ukryć
4517,políticos,Politycy
4518,muertes,zgony
4519,anthony,Anthony
4520,pensabas,Myślałeś
4521,saqué,Wyjąłem
4522,taller,warsztat
4523,fantástica,Fantastyczny
4524,practicar,ćwiczyć
4525,asientos,osadzenie
4526,armado,uzbrojony
4527,gibbs,Gibbs
4528,habrán,tam będzie
4529,considera,rozważa
4530,atender,brać udział w
4531,ponemos,My położyliśmy
4532,we,My
4533,consigues,Dostajesz
4534,sentados,posiedzenie
4535,costó,koszt
4536,soñando,dzwonienie
4537,stanley,Stanley
4538,creó,Myślę
4539,ayúdenme,Pomóż mi
4540,juzgado,Sąd
4541,hablarme,Mów do mnie
4542,janet,Janet
4543,bebido,pijany
4544,pierdas,Przegrałeś
4545,ponlo,Umieść to
4546,gallina,kurczak
4547,miguel,Michał
4548,octubre,październik
4549,sentirme,czuć
4550,riesgos,ryzyko
4551,dificil,ciężko
4552,besar,pocałunek
4553,lavar,myć się
4554,sacarte,rozumiem cię
4555,cuyo,którego
4556,cayendo,spadanie w dół
4557,emocional,emocjonalny
4558,prometida,narzeczona
4559,molestia,kłopot
4560,christine,Christine
4561,consiga,Dostawać
4562,huella,odcisk palca
4563,agarra,chwyta
4564,karl,Karl
4565,condena,wyrok
4566,decírmelo,Powiedz mi
4567,cafetería,Stołówka
4568,honesta,uczciwy
4569,tómate,pomidory
4570,pablo,Paweł
4571,medidas,środki
4572,ofreció,oferowany
4573,dió,dało
4574,quizas,być może
4575,celosa,zazdrosny
4576,instinto,instynkt
4577,bancos,banki
4578,mías,moje
4579,emocionado,podekscytowany
4580,juguete,zabawka
4581,villa,miasto
4582,conocida,znany
4583,servirá,będzie służyć
4584,norman,Norman
4585,centavo,grosz
4586,lincoln,Lincoln
4587,connor,Connor
4588,potencia,moc
4589,unido,Zjednoczony
4590,julian,juliański
4591,copias,słyszysz mnie
4592,receta,recepta
4593,interesada,zainteresowany
4594,seguirá,pójdzie za nim
4595,oírme,Usłysz mnie
4596,cocaína,kokaina
4597,encontrarte,znaleźć Cię
4598,cambie,zmiana
4599,asesinó,morderca
4600,huyendo,uciekać
4601,marihuana,narkotyk
4602,entramos,Wchodzimy
4603,congreso,kongres
4604,capa,warstwa
4605,tocó,wzruszony
4606,mágico,magiczny
4607,beneficios,Korzyści
4608,aburrida,znudzony
4609,invito,Zapraszam
4610,período,Kropka
4611,corredor,biegacz
4612,marte,Mars
4613,ayudaría,mogłoby pomóc
4614,cortado,porąbane
4615,mentiste,skłamałeś
4616,olvidaste,Zapomniałeś
4617,nieto,wnuczka
4618,odiaba,nienawidziłem
4619,fraude,oszustwo
4620,zapato,but
4621,mantenerlo,Zatrzymaj to
4622,liam,Liam
4623,tiró,strzał
4624,sector,sektor
4625,conseguirlo,Dostać to
4626,furgoneta,awangarda
4627,causado,spowodowany
4628,beneficio,korzyść
4629,querrías,Chciałbyś
4630,graduación,ukończenie szkoły
4631,alejado,zdalny
4632,junior,junior
4633,complejo,złożony
4634,miraba,Popatrzyłem
4635,patas,łapy
4636,columna,kolumna
4637,empieces,Ty zaczynasz
4638,bienes,osiedle
4639,quisieras,Chciałbyś
4640,clásico,klasyczny
4641,saque,Na wynos
4642,oírlo,Usłysz to
4643,hígado,wątroba
4644,robaste,ukradłeś
4645,decías,Powiedziałeś
4646,all,Wszystko
4647,lleven,Brać
4648,trabajé,pracowałem
4649,muebles,meble
4650,actos,Dzieje
4651,células,Komórki
4652,presa,ofiara
4653,hubiéramos,mielibyśmy
4654,travis,Travis
4655,joan,Joan
4656,páginas,strony
4657,raymond,Raymond
4658,llenar,wypełnić
4659,riley,Riley
4660,cambian,Zmieniają się
4661,sonríe,uśmiech
4662,moscú,Moskwa
4663,ordenó,zamówiono
4664,go,Iść
4665,motel,motel
4666,venimos,Przychodzimy
4667,cuente,Liczyć
4668,a.,a.
4669,preguntes,ty pytasz
4670,mentido,skłamał
4671,decidimos,zdecydowaliśmy aby
4672,house,Dom
4673,alimentos,żywność
4674,actúa,Działać
4675,prefieres,Ty preferujesz
4676,mason,mason
4677,presupuesto,budżet
4678,prepárate,Przygotuj się
4679,ubicación,Lokalizacja
4680,etapa,etap
4681,olvidaré,zapomnę
4682,trajes,garnitury
4683,santos,Święci
4684,idioma,idiom
4685,fruta,owoc
4686,reconoce,rozpoznać
4687,vuela,Latający
4688,ganando,zwycięski
4689,bendición,błogosławieństwo
4690,luis,Chwytak
4691,compasión,współczucie
